ISO_country,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
URY,,,,,,,,,,,,,,,,9.0,,,10.0,11.5,9.4,,,7.9,,,,7.2,,,,
USA,,,,,,,,5.4,,,,,,,,,,7.0,,,,8.1,,,,7.8,,,6.0,,,
UZB,,,,,,,,,,,,,15.9,,,,,,11.1,,,,12.8,,,,,,,,,
VEN,,,,9.0,,,4.0,4.3,4.9,4.9,5.0,4.7,4.7,5.0,4.9,5.2,5.3,5.4,5.4,5.3,5.2,5.5,6.1,6.1,6.3,6.4,,,,,,
VNM,,,,,,,,,,2.8,,,,,1.4,1.8,2.5,,2.6,2.2,2.7,2.6,3.1,2.9,3.0,,,4.6,,4.6,,
VUT,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,4.6,,
WSM,,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,
YEM,,,,,,,,8.1,,,,,6.9,3.7,,,,,,5.0,,,,,,,,1.5,,,2.0,
ZAF,,,,,,,,,,,,10.3,,,,10.4,,,,,19.2,,,,,,,,,,,
ZMB,,,,,,,,,4.7,,,,6.2,,,12.3,,,5.9,,,,,8.4,,,,,,6.2,,
ZWE,,,,,5.4,,,,,,6.4,,,,,10.6,,,,,,9.1,,,,3.5,5.8,,,,3.6,
