,,,"Children aged <5 years stunted (%)","Children aged <5 years stunted (%)","Children aged <5 years stunted (%)"
"Country","Year","Data Source","Both sexes","Female","Male"
"Libya","2007","NLIS_312923","21.0","19.6","22.2"
"Libya","1995","NLIS_311605","21.1","19.3","23.0"
"Libya","1995","NLIS_312858","20.7","",""
"Madagascar","2008-2009","NLIS_313021","49.2","46.7","51.6"
"Madagascar","2003-2004","NLIS_312673","52.8","51.5","54.2"
"Madagascar","1997","NLIS_311864","55.5","51.5","59.5"
"Madagascar","1995","NLIS_311611","55.2","",""
"Madagascar","1993-1994","NLIS_311583","54.1","",""
"Madagascar","1992","NLIS_310878","60.9","57.5","64.1"
"Madagascar","1983-1984","NLIS_310119","40.0","",""
"Malawi","2013-2014","NLIS_313232","42.4","",""
"Malawi","2010","NLIS_313100","47.8","44.1","51.8"
"Malawi","2009","NLIS_313099","48.8","45.6","52.4"
"Malawi","2006","NLIS_312890","53.2","51.1","55.4"
"Malawi","2004-2005","NLIS_312763","52.5","49.9","55.0"
"Malawi","2000","NLIS_312277","54.6","52.7","56.6"
"Malawi","1997-1998","NLIS_312455","63.6","",""
"Malawi","1995","NLIS_311700","53.8","",""
"Malawi","1992","NLIS_311409","55.8","53.5","58.1"
"Malawi","1982","NLIS_310107","61.1","",""
"Malawi","1981","NLIS_310107","61.2","",""
"Malaysia","2006","NLIS_313083","17.2","17.2","17.2"
"Malaysia","1999","NLIS_312549","20.7","",""
"Maldives","2009","NLIS_313063","20.3","19.0","21.6"
"Maldives","2001","NLIS_312548","31.9","31.0","32.6"
"Maldives","1997-1998","NLIS_311999","46.7","41.0","53.5"
"Maldives","1995","NLIS_311778","33.0","",""
"Maldives","1994","NLIS_311569","36.1","35.5","36.6"
"Mali","2006","NLIS_312855","38.5","36.2","40.7"
"Mali","2001","NLIS_312387","42.7","41.5","43.9"
"Mali","1996","NLIS_311831","54.1","",""
"Mali","1995-1996","NLIS_311682","36.2","33.6","39.0"
"Mali","1987","NLIS_310045","32.5","30.7","34.2"
"Mauritania","2012","NLIS_313147","22.0","19.5","24.4"
"Mauritania","2011","NLIS_313218","29.7","28.3","31.2"
"Mauritania","2008","NLIS_312952","23.0","20.0","25.8"
"Mauritania","2007","NLIS_312895","28.9","27.3","30.4"
"Mauritania","2000-2001","NLIS_312319","39.5","38.8","40.2"
"Mauritania","1995-1996","NLIS_311662","49.8","",""
